season,round,lap,driverId,position,time
2024,1,1,max_verstappen,1,1:34.201
2024,1,1,charles_leclerc,2,1:34.501
2024,1,1,lando_norris,3,1:35.101
2024,1,2,max_verstappen,1,1:34.202
2024,1,2,charles_leclerc,2,1:34.502
2024,1,2,lando_norris,3,1:35.102
2024,1,3,max_verstappen,1,1:34.203
2024,1,3,charles_leclerc,2,1:34.503
2024,1,3,lando_norris,3,1:35.103
2024,1,4,max_verstappen,1,1:34.204
2024,1,4,charles_leclerc,2,1:34.504
2024,1,4,lando_norris,3,1:35.104
2024,1,5,max_verstappen,1,1:34.205
2024,1,5,charles_leclerc,2,1:34.505
2024,1,5,lando_norris,3,1:35.105
2024,8,1,max_verstappen,1,1:34.201
2024,8,1,charles_leclerc,2,1:34.501
2024,8,1,lando_norris,3,1:35.101
2024,8,2,max_verstappen,1,1:34.202
2024,8,2,charles_leclerc,2,1:34.502
2024,8,2,lando_norris,3,1:35.102
2024,8,3,max_verstappen,1,1:34.203
2024,8,3,charles_leclerc,2,1:34.503
2024,8,3,lando_norris,3,1:35.103
2024,8,4,max_verstappen,2,1:34.204
2024,8,4,charles_leclerc,1,1:34.504
2024,8,4,lando_norris,3,1:35.104
2024,8,5,max_verstappen,2,1:34.205
2024,8,5,charles_leclerc,1,1:34.505
2024,8,5,lando_norris,3,1:35.105
