LapNumber,Delta_S1,Delta_S2,Delta_S3
2.0,-0.0470000000000006,0.43299999999999983,0.5420000000000016
3.0,0.19900000000000162,0.5130000000000052,0.21999999999999886
4.0,-0.010000000000001563,0.35600000000000165,-0.03999999999999915
5.0,0.25900000000000034,0.6540000000000035,0.22299999999999898
6.0,0.07899999999999707,1.2360000000000042,0.21399999999999864
7.0,-0.12899999999999778,0.3780000000000001,-0.021000000000000796
8.0,0.12199999999999989,0.269999999999996,0.20700000000000074
9.0,-0.08500000000000085,0.2330000000000041,0.36100000000000065
10.0,0.13899999999999935,0.45300000000000296,0.43799999999999883
11.0,0.10300000000000153,0.5319999999999965,0.2870000000000026
12.0,0.3949999999999996,0.43199999999999505,0.39399999999999835
13.0,0.12900000000000134,0.24499999999999744,0.22800000000000153
14.0,-0.10500000000000043,0.2540000000000049,0.12900000000000134
15.0,-0.028000000000002245,-0.012000000000000455,0.20599999999999952
16.0,-0.142000000000003,-0.012999999999998124,0.2779999999999987
17.0,0.07000000000000028,0.22099999999999653,0.2259999999999991
18.0,0.1460000000000008,0.2629999999999981,0.39699999999999847
19.0,0.12199999999999989,0.2949999999999946,0.4460000000000015
20.0,-0.038999999999997925,0.34499999999999886,0.3550000000000004
21.0,-0.18900000000000006,0.15900000000000603,0.3150000000000013
22.0,0.10099999999999909,0.2909999999999968,0.245000000000001
23.0,-0.01600000000000179,0.3860000000000028,0.3319999999999972
24.0,-0.04899999999999949,0.1560000000000059,0.24599999999999866
25.0,0.08200000000000074,0.3340000000000032,0.3760000000000012
26.0,0.07600000000000051,0.36599999999999966,0.05099999999999838
27.0,0.0,0.35200000000000387,0.2240000000000002
28.0,-0.2010000000000005,0.1180000000000021,0.18799999999999883
29.0,-0.21999999999999886,-0.031999999999996476,0.1559999999999988
30.0,-0.25700000000000145,0.10000000000000142,0.03999999999999915
31.0,-0.1910000000000025,0.240000000000002,0.3069999999999986
32.0,-0.1880000000000024,0.17799999999999727,2.9609999999999985
33.0,6.259,-1.716000000000001,0.3420000000000023
34.0,-8.494,-16.047999999999995,-2.181999999999995
35.0,0.4160000000000039,0.8710000000000022,-1.6399999999999935
36.0,2.4309999999999974,-1.7610000000000028,-0.5959999999999965
37.0,2.1529999999999987,-1.7550000000000026,0.9570000000000007
38.0,-0.22399999999999665,-0.8119999999999976,-0.5919999999999987
39.0,0.12100000000000222,0.882000000000005,0.07600000000000051
40.0,-0.004000000000001336,0.5620000000000047,0.1739999999999995
41.0,0.038000000000000256,-0.015000000000000568,-0.038000000000000256
42.0,-0.19200000000000017,0.820999999999998,0.13799999999999812
43.0,-0.3039999999999985,0.2909999999999968,0.022999999999999687
44.0,0.2619999999999969,0.3689999999999998,0.3099999999999987
45.0,-0.09700000000000131,0.12599999999999767,-0.012000000000000455
46.0,-0.2690000000000019,0.4660000000000011,0.2480000000000011
47.0,-0.2309999999999981,0.2359999999999971,0.09500000000000242
48.0,-0.3200000000000003,0.08800000000000097,-0.015999999999998238
49.0,-0.26599999999999824,0.25,0.08399999999999963
50.0,-0.31599999999999895,0.19200000000000017,0.357999999999997
51.0,-0.29499999999999815,0.4299999999999997,0.17099999999999937
52.0,-0.015000000000000568,0.605000000000004,0.2579999999999991
